username,role,login_time,logout_time
vivek,Admin,2025-12-18 17:55:49.793400,
vivek,Admin,2025-12-18 18:46:19.355888,
vivek,Admin,2025-12-18 18:52:45.452785,
vivek,Admin,2025-12-18 18:53:05.685497,
vivek,Admin,2025-12-18 18:56:05.133570,
vivek,Admin,2025-12-18 19:00:55.097541,
vivek,Admin,2025-12-18 19:04:57.636841,
vivek,Admin,2025-12-18 19:10:14.305649,
vivek,Admin,2025-12-18 19:12:58.138109,
vivek,Admin,2025-12-18 19:15:37.120818,
vivek,Admin,2025-12-18 19:30:48.861664,
vivek,Admin,2025-12-18 19:32:54.790250,
vivek,Admin,2025-12-18 19:35:21.870846,
vivek,Admin,2025-12-18 19:38:14.803188,
vivek,Admin,2025-12-18 22:23:45.523455,
neha,CHRO,2025-12-18 22:26:22.287342,
neha,CHRO,2025-12-18 22:38:06.928059,
neha,CHRO,2025-12-18 22:42:45.224453,
neha,CHRO,2025-12-18 22:45:23.760836,
neha,CHRO,2025-12-18 22:48:01.755322,
neha,CHRO,2025-12-18 22:51:29.569106,
neha,CHRO,2025-12-19 14:26:54.399745,
neha,CHRO,2025-12-19 16:41:41.945665,
